strategy,avg_wait_time,std_wait_time,max_wait_time,long_wait_ratio,total_calls,parking_floors
Ground_Floor,40.291019832637275,2.8738012348291866,60.3,0.007959497074457355,5005.9,"[1, 1, 1, 1, 1, 1, 1, 1]"
Uniform_Distribution,40.20085762560351,2.9617292366838193,52.5,0.0,5001.8,"[1, 2, 4, 6, 8, 10, 12, 14]"
Demand_Based,39.29436046909611,2.3246465480454375,46.2,0.0,5029.0,"[1, 3, 4, 6, 10, 5, 9, 8]"
Zone_Based,39.4792956099743,2.345960956466365,44.4,0.0,5023.1,"[3, 7, 11, 3, 7, 11, 3, 7]"
Hybrid,39.72528289970103,2.5374172422320607,46.5,0.0,5018.3,"[1, 1, 1, 1, 5, 9, 13, 14]"
Middle_Concentration,39.44649133757214,2.323281549420794,48.3,0.0,5009.1,"[6, 7, 8, 6, 7, 8, 6, 7]"
