generations,best_awt,avg_awt,pareto_size
0,3.730759051189655,6.397105053220354,11
1,3.730759051189655,6.310836162538334,11
2,3.730759051189655,6.093667134530189,12
3,3.4919666954444626,5.962504623635308,11
4,3.4919666954444626,5.604678968282837,13
5,3.4919666954444626,5.575021846439579,12
6,3.4919666954444626,5.907654163480421,10
7,3.4919666954444626,5.939044932461675,8
8,3.4919666954444626,5.861471426962249,8
9,3.4919666954444626,6.022326356951245,9
10,2.967448887719601,5.9820553947685005,12
11,2.967448887719601,5.813694122506764,12
12,2.967448887719601,5.805168411285894,13
13,2.967448887719601,5.679774433948275,13
14,2.967448887719601,5.669930157696427,13
15,2.967448887719601,5.595257066192694,14
16,2.967448887719601,5.618582120225601,15
17,2.967448887719601,5.48153109122763,15
18,2.967448887719601,5.465156895207366,16
19,2.967448887719601,5.514843313768399,15
20,2.967448887719601,5.4320961660577805,15
21,2.967448887719601,5.416769551236786,17
22,2.967448887719601,5.405453063354377,18
23,2.967448887719601,5.360112096730685,18
24,2.967448887719601,5.369020852501023,18
25,2.967448887719601,5.352984394031323,20
26,2.967448887719601,5.37280916704363,22
27,2.967448887719601,5.399197918188754,22
28,2.967448887719601,5.354531228890568,22
29,2.967448887719601,5.308979551794007,23
30,2.3571812631129974,5.2695407847841516,22
31,2.3571812631129974,5.2695407847841516,22
32,2.3571812631129974,5.4020463115363215,22
33,2.3571812631129974,5.388424643162218,22
34,2.3571812631129974,5.407843150377737,22
35,2.3571812631129974,5.404672315042628,18
36,2.3571812631129974,5.386199498128214,19
37,2.3571812631129974,5.317942874941017,19
38,2.3571812631129974,5.314933602084802,19
39,2.3571812631129974,5.250674884211901,18
40,2.3571812631129974,5.283423990870597,15
41,2.3571812631129974,5.314405146022989,15
42,2.3571812631129974,5.257873501806134,15
43,2.3571812631129974,5.270206761529319,15
44,2.3571812631129974,5.220195114834228,16
45,2.3571812631129974,5.215079876995226,16
46,2.3571812631129974,5.189058724299513,16
47,2.3571812631129974,5.13940944636234,16
48,2.3571812631129974,5.180193950359953,16
49,2.3571812631129974,5.159435359342917,16
50,2.3571812631129974,5.159414588021544,16
51,2.3571812631129974,5.1657685542687375,16
52,2.3571812631129974,5.1666208234509545,17
53,2.3571812631129974,5.152533343928988,16
54,2.3571812631129974,5.120378149155161,16
55,2.3571812631129974,5.056762120744972,16
56,2.3571812631129974,4.988386718611026,17
57,2.3571812631129974,4.982177190010544,17
58,2.3571812631129974,4.981655346565432,17
59,2.3571812631129974,4.975312274986843,17
60,2.3571812631129974,4.987804374179067,17
61,2.3571812631129974,5.00719155038097,17
62,2.3571812631129974,5.00719155038097,17
63,2.3571812631129974,5.006214901526227,17
64,2.3571812631129974,4.9449420662065044,17
