Episode,Total_Reward,Avg_Wait_Time
1,-453.85,10.57
2,-358.0,6.673267326732673
3,-346.8742424242424,7.902912621359223
4,-457.0535714285714,10.634615384615385
5,-331.81309523809523,10.233009708737864
6,-358.5392857142857,7.371428571428571
7,-297.6583333333333,6.359223300970874
8,-275.36785714285713,5.701923076923077
9,-361.8535714285714,6.970588235294118
10,-310.7142857142858,7.02803738317757
11,-450.79285714285714,7.970588235294118
12,-345.4547619047619,7.676470588235294
13,-232.69199134199133,5.228571428571429
14,-403.72499999999997,7.98019801980198
15,-366.65,9.617647058823529
16,-315.35,5.4
17,-326.2666666666667,11.05
18,-350.00000000000006,6.088235294117647
19,-407.80714285714294,9.94
20,-413.8590909090909,7.647058823529412
21,-390.02738095238095,8.26
22,-331.0547619047619,8.352941176470589
23,-294.43593073593075,7.84
24,-361.96904761904756,10.326732673267326
25,-449.7357142857143,10.39
26,-340.1190476190476,9.1
27,-416.31904761904764,9.122641509433961
28,-369.9535714285714,7.416666666666667
29,-404.99285714285713,9.179245283018869
30,-372.98214285714283,8.188118811881187
31,-437.9952380952381,9.307692307692308
32,-316.11406926406926,9.192307692307692
33,-424.37976190476195,11.544554455445544
34,-274.48214285714283,7.267326732673268
35,-401.8130952380953,11.128712871287128
36,-375.14285714285717,6.1
37,-323.7464285714286,7.0594059405940595
38,-335.5607142857143,7.452830188679245
39,-384.68571428571425,8.336633663366337
40,-310.2142857142857,6.4
41,-490.2142857142857,9.465346534653465
42,-248.42922077922077,6.13
43,-351.8380952380952,8.261682242990654
44,-375.09285714285716,7.367924528301887
45,-367.98333333333335,6.41747572815534
46,-350.5357142857143,8.294117647058824
47,-531.3785714285715,9.86111111111111
48,-311.8071428571429,7.865384615384615
49,-341.86309523809524,7.57
50,-350.20952380952383,6.423076923076923
51,-231.0677489177489,6.451923076923077
52,-313.97294372294374,6.694444444444445
53,-280.3642857142857,6.117647058823529
54,-260.35476190476186,6.524752475247524
55,-428.5238095238095,7.088235294117647
56,-366.3285714285714,7.27
57,-288.37857142857143,8.705882352941176
58,-332.0785714285715,5.864077669902913
59,-299.7738095238095,6.411764705882353
60,-360.14935064935065,7.375
61,-344.81666666666666,8.264705882352942
62,-323.7857142857143,6.941747572815534
63,-398.45,8.2
64,-409.00357142857143,8.128712871287128
65,-366.79880952380955,8.485436893203884
66,-351.79285714285714,6.826923076923077
67,-316.8285714285714,7.15
68,-259.06493506493507,5.4423076923076925
69,-331.82337662337665,7.055045871559633
70,-294.7321428571429,6.480769230769231
71,-340.63051948051947,7.861386138613861
72,-348.7083333333333,6.584158415841584
73,-349.4,6.79
74,-403.22142857142865,7.445544554455446
75,-366.39285714285717,6.538461538461538
76,-303.2,7.382352941176471
77,-338.2964285714286,7.33
78,-347.4976190476191,5.371428571428571
79,-386.1419913419914,6.583333333333333
80,-299.9846153846154,7.490909090909091
81,-385.09166666666664,7.116504854368932
82,-308.39285714285717,5.257142857142857
83,-386.7178571428571,7.57
84,-328.14285714285717,6.6138613861386135
85,-305.29935064935063,6.457142857142857
86,-392.61428571428576,7.2
87,-438.46428571428567,9.563106796116505
88,-325.1250915750916,6.911764705882353
89,-443.92857142857144,7.089108910891089
90,-307.91666666666663,6.2075471698113205
91,-313.37142857142857,7.349514563106796
92,-271.76666666666665,6.07
93,-330.24880952380954,6.679611650485437
94,-349.9107142857143,7.679245283018868
95,-365.0785714285714,7.920792079207921
96,-339.72380952380956,8.660194174757281
97,-367.44545454545454,7.39
98,-223.96895604395604,5.714285714285714
99,-398.7369047619048,10.87
100,-275.79523809523806,6.79
101,-362.4012987012987,7.349514563106796
102,-307.6714285714286,7.375
103,-395.8464285714286,9.37
104,-292.895238095238,6.323529411764706
105,-353.86428571428576,7.970588235294118
106,-345.8178571428571,6.52
107,-355.375,6.64
108,-266.1392857142857,6.475728155339806
109,-294.31233766233765,7.4411764705882355
110,-291.525,5.571428571428571
111,-331.7404761904762,6.679611650485437
112,-441.45,6.76
113,-271.07142857142856,7.841121495327103
114,-276.98571428571427,6.138613861386139
115,-321.4285714285714,7.9504950495049505
116,-317.3166666666667,6.73
117,-321.2131868131868,6.643564356435643
118,-347.79220779220776,6.828571428571428
119,-460.42857142857144,7.57
120,-291.2928571428572,6.76
121,-343.91428571428565,6.43
122,-356.37987012987014,6.485714285714286
123,-288.59999999999997,6.405940594059406
124,-336.0357142857143,6.46
125,-288.7047619047619,6.336538461538462
126,-429.90000000000003,8.735294117647058
127,-245.1,5.647058823529412
128,-251.25,5.574257425742574
129,-319.8280303030303,6.766990291262136
130,-275.67619047619047,7.0
131,-288.0440476190476,5.701923076923077
132,-306.23571428571427,6.184466019417476
133,-222.49285714285716,5.676470588235294
134,-327.35,6.04
135,-511.20238095238096,9.058823529411764
136,-229.06093073593075,6.25
137,-327.8857142857143,5.663366336633663
138,-288.05,6.647058823529412
139,-293.2535714285714,5.871287128712871
140,-236.22747252747254,7.378640776699029
141,-279.1011904761905,8.5
142,-361.34166666666664,8.117647058823529
143,-346.7916666666667,6.794117647058823
144,-266.6214285714286,7.18
145,-309.79999999999995,6.5
146,-315.2083333333333,6.0
147,-377.547619047619,9.22
148,-358.64404761904757,8.932692307692308
149,-369.1035714285714,8.08
