strategy,avg_wait_time,std_wait_time,max_wait_time,long_wait_ratio,total_calls,parking_floors
Ground_Floor,40.347496627725505,2.8966912043453705,60.0,0.005938096988775421,5018.8,"[1, 1, 1, 1, 1, 1, 1, 1]"
Uniform_Distribution,40.251106423739344,2.98579022660671,51.6,0.0,5015.8,"[1, 2, 4, 6, 8, 10, 12, 14]"
Demand_Based,39.30170553696636,2.331958100498196,45.6,0.0,5015.7,"[1, 3, 4, 6, 10, 5, 9, 8]"
Zone_Based,39.409826446549225,2.338262411142117,44.7,0.0,4949.4,"[3, 7, 11, 3, 7, 11, 3, 7]"
Hybrid,39.720487556669795,2.5290456318949017,46.8,0.0,5048.2,"[1, 1, 1, 1, 5, 9, 13, 14]"
Middle_Concentration,39.445770513271526,2.3274280109004133,47.7,0.0,5030.1,"[6, 7, 8, 6, 7, 8, 6, 7]"
